<http://www.ihtsdo.org/SCT_10006000>	[<http://www.ihtsdo.org/SCT_78917001>]
<http://www.ihtsdo.org/SCT_10017004>	[<http://www.ihtsdo.org/SCT_234977009>]
<http://www.ihtsdo.org/SCT_10033001>	[<http://www.ihtsdo.org/SCT_398114001>]
<http://www.ihtsdo.org/SCT_10072002>	[<http://www.ihtsdo.org/SCT_3527003>]
<http://www.ihtsdo.org/SCT_10091002>	[<http://www.ihtsdo.org/SCT_84114007>]
<http://www.ihtsdo.org/SCT_10107006>	[<http://www.ihtsdo.org/SCT_235279008>]
<http://www.ihtsdo.org/SCT_10190003>	[<http://www.ihtsdo.org/SCT_67166004>]
<http://www.ihtsdo.org/SCT_10223001>	[<http://www.ihtsdo.org/SCT_27171005>]
<http://www.ihtsdo.org/SCT_1023001>	[<http://www.ihtsdo.org/SCT_106049001>]
<http://www.ihtsdo.org/SCT_102301002>	[<http://www.ihtsdo.org/SCT_95965005>]
<http://www.ihtsdo.org/SCT_102314001>	[<http://www.ihtsdo.org/SCT_102303004>]
<http://www.ihtsdo.org/SCT_10239008>	[<http://www.ihtsdo.org/SCT_54921001>]
<http://www.ihtsdo.org/SCT_102448004>	[<http://www.ihtsdo.org/SCT_47362003>]
<http://www.ihtsdo.org/SCT_102449007>	[<http://www.ihtsdo.org/SCT_102448004>]
<http://www.ihtsdo.org/SCT_102450007>	[<http://www.ihtsdo.org/SCT_56852002>]
<http://www.ihtsdo.org/SCT_102483000>	[<http://www.ihtsdo.org/SCT_418799008>]
<http://www.ihtsdo.org/SCT_102584008>	[<http://www.ihtsdo.org/SCT_392570002>]
<http://www.ihtsdo.org/SCT_102618009>	[<http://www.ihtsdo.org/SCT_116338005>]
<http://www.ihtsdo.org/SCT_102888000>	[<http://www.ihtsdo.org/SCT_116339002>]
<http://www.ihtsdo.org/SCT_102889008>	[<http://www.ihtsdo.org/SCT_366349004>]
<http://www.ihtsdo.org/SCT_103007003>	[<http://www.ihtsdo.org/SCT_25064002>]
<http://www.ihtsdo.org/SCT_103178007>	[<http://www.ihtsdo.org/SCT_103181002>]
<http://www.ihtsdo.org/SCT_103199005>	[<http://www.ihtsdo.org/SCT_78036008>]
<http://www.ihtsdo.org/SCT_103200008>	[<http://www.ihtsdo.org/SCT_78036008>]
<http://www.ihtsdo.org/SCT_103271006>	[<http://www.ihtsdo.org/SCT_37125009>]
<http://www.ihtsdo.org/SCT_10374007>	[<http://www.ihtsdo.org/SCT_78013004>]
<http://www.ihtsdo.org/SCT_10378005>	[<http://www.ihtsdo.org/SCT_73607007>]
<http://www.ihtsdo.org/SCT_103803000>	[<http://www.ihtsdo.org/SCT_63300003>]
<http://www.ihtsdo.org/SCT_103813008>	[<http://www.ihtsdo.org/SCT_67241009>]
<http://www.ihtsdo.org/SCT_103814002>	[<http://www.ihtsdo.org/SCT_67241009>]
<http://www.ihtsdo.org/SCT_103815001>	[<http://www.ihtsdo.org/SCT_67241009>]
<http://www.ihtsdo.org/SCT_103816000>	[<http://www.ihtsdo.org/SCT_67241009>]
<http://www.ihtsdo.org/SCT_103825006>	[<http://www.ihtsdo.org/SCT_70648006>]
<http://www.ihtsdo.org/SCT_103826007>	[<http://www.ihtsdo.org/SCT_70648006>]
<http://www.ihtsdo.org/SCT_103829000>	[<http://www.ihtsdo.org/SCT_58543006>]
<http://www.ihtsdo.org/SCT_103831009>	[<http://www.ihtsdo.org/SCT_103830005>]
<http://www.ihtsdo.org/SCT_103833007>	[<http://www.ihtsdo.org/SCT_103832002>]
<http://www.ihtsdo.org/SCT_103836004>	[<http://www.ihtsdo.org/SCT_103835000>]
<http://www.ihtsdo.org/SCT_103837008>	[<http://www.ihtsdo.org/SCT_103835000>]
<http://www.ihtsdo.org/SCT_103859005>	[<http://www.ihtsdo.org/SCT_91315004>]
<http://www.ihtsdo.org/SCT_103867002>	[<http://www.ihtsdo.org/SCT_91315004>]
<http://www.ihtsdo.org/SCT_103930006>	[<http://www.ihtsdo.org/SCT_103929001>]
<http://www.ihtsdo.org/SCT_103955000>	[<http://www.ihtsdo.org/SCT_103947007>]
<http://www.ihtsdo.org/SCT_103970004>	[<http://www.ihtsdo.org/SCT_51481005>]
<http://www.ihtsdo.org/SCT_104106002>	[<http://www.ihtsdo.org/SCT_61928009>]
<http://www.ihtsdo.org/SCT_104107006>	[<http://www.ihtsdo.org/SCT_61928009>]
<http://www.ihtsdo.org/SCT_104108001>	[<http://www.ihtsdo.org/SCT_59388001>]
<http://www.ihtsdo.org/SCT_104137002>	[<http://www.ihtsdo.org/SCT_167907006>]
<http://www.ihtsdo.org/SCT_104139004>	[<http://www.ihtsdo.org/SCT_28317006>]
<http://www.ihtsdo.org/SCT_104140002>	[<http://www.ihtsdo.org/SCT_441689006>]
<http://www.ihtsdo.org/SCT_104146008>	[<http://www.ihtsdo.org/SCT_104145007>]
<http://www.ihtsdo.org/SCT_104147004>	[<http://www.ihtsdo.org/SCT_104145007>]
<http://www.ihtsdo.org/SCT_104152009>	[<http://www.ihtsdo.org/SCT_45995003>]
<http://www.ihtsdo.org/SCT_104179008>	[<http://www.ihtsdo.org/SCT_104178000>]
<http://www.ihtsdo.org/SCT_104195008>	[<http://www.ihtsdo.org/SCT_16314007>]
<http://www.ihtsdo.org/SCT_104198005>	[<http://www.ihtsdo.org/SCT_16314007>]
<http://www.ihtsdo.org/SCT_104201000>	[<http://www.ihtsdo.org/SCT_16314007>]
<http://www.ihtsdo.org/SCT_104223001>	[<http://www.ihtsdo.org/SCT_16314007>]
<http://www.ihtsdo.org/SCT_104271001>	[<http://www.ihtsdo.org/SCT_47889002>]
<http://www.ihtsdo.org/SCT_1043007>	[<http://www.ihtsdo.org/SCT_16310003>]
<http://www.ihtsdo.org/SCT_104345003>	[<http://www.ihtsdo.org/SCT_2220009>]
<http://www.ihtsdo.org/SCT_104348001>	[<http://www.ihtsdo.org/SCT_43992003>]
<http://www.ihtsdo.org/SCT_104371004>	[<http://www.ihtsdo.org/SCT_61792005>]
<http://www.ihtsdo.org/SCT_104373001>	[<http://www.ihtsdo.org/SCT_118136006>]
<http://www.ihtsdo.org/SCT_104374007>	[<http://www.ihtsdo.org/SCT_697001>]
<http://www.ihtsdo.org/SCT_1044001>	[<http://www.ihtsdo.org/SCT_78579002>]
<http://www.ihtsdo.org/SCT_104404005>	[<http://www.ihtsdo.org/SCT_268468007>]
<http://www.ihtsdo.org/SCT_104405006>	[<http://www.ihtsdo.org/SCT_67900009>]
<http://www.ihtsdo.org/SCT_104411009>	[<http://www.ihtsdo.org/SCT_60372008>]
<http://www.ihtsdo.org/SCT_104412002>	[<http://www.ihtsdo.org/SCT_60372008>]
<http://www.ihtsdo.org/SCT_104413007>	[<http://www.ihtsdo.org/SCT_88191005>]
<http://www.ihtsdo.org/SCT_104414001>	[<http://www.ihtsdo.org/SCT_88191005>]
<http://www.ihtsdo.org/SCT_104439005>	[<http://www.ihtsdo.org/SCT_67066002>]
<http://www.ihtsdo.org/SCT_104462007>	[<http://www.ihtsdo.org/SCT_11138003>]
<http://www.ihtsdo.org/SCT_104478009>	[<http://www.ihtsdo.org/SCT_49466006>]
<http://www.ihtsdo.org/SCT_104481004>	[<http://www.ihtsdo.org/SCT_34608000>]
<http://www.ihtsdo.org/SCT_104482006>	[<http://www.ihtsdo.org/SCT_34608000>]
<http://www.ihtsdo.org/SCT_104562009>	[<http://www.ihtsdo.org/SCT_3025001>]
<http://www.ihtsdo.org/SCT_104563004>	[<http://www.ihtsdo.org/SCT_71878006>]
<http://www.ihtsdo.org/SCT_104596002>	[<http://www.ihtsdo.org/SCT_67900009>]
<http://www.ihtsdo.org/SCT_104605002>	[<http://www.ihtsdo.org/SCT_62037009>]
<http://www.ihtsdo.org/SCT_104608000>	[<http://www.ihtsdo.org/SCT_62037009>]
<http://www.ihtsdo.org/SCT_104615008>	[<http://www.ihtsdo.org/SCT_70901006>]
<http://www.ihtsdo.org/SCT_104664000>	[<http://www.ihtsdo.org/SCT_31003009>]
<http://www.ihtsdo.org/SCT_104675001>	[<http://www.ihtsdo.org/SCT_60143002>]
<http://www.ihtsdo.org/SCT_104676000>	[<http://www.ihtsdo.org/SCT_6159009>]
<http://www.ihtsdo.org/SCT_104683007>	[<http://www.ihtsdo.org/SCT_87535006>]
<http://www.ihtsdo.org/SCT_104686004>	[<http://www.ihtsdo.org/SCT_302789003>]
<http://www.ihtsdo.org/SCT_104687008>	[<http://www.ihtsdo.org/SCT_36048009>]
<http://www.ihtsdo.org/SCT_104701001>	[<http://www.ihtsdo.org/SCT_104692005>]
<http://www.ihtsdo.org/SCT_104715004>	[<http://www.ihtsdo.org/SCT_80874005>]
<http://www.ihtsdo.org/SCT_10473000>	[<http://www.ihtsdo.org/SCT_21774001>]
<http://www.ihtsdo.org/SCT_104752004>	[<http://www.ihtsdo.org/SCT_16890009>]
<http://www.ihtsdo.org/SCT_104753009>	[<http://www.ihtsdo.org/SCT_16890009>]
<http://www.ihtsdo.org/SCT_104754003>	[<http://www.ihtsdo.org/SCT_16890009>]
<http://www.ihtsdo.org/SCT_104766009>	[<http://www.ihtsdo.org/SCT_104765008>]
<http://www.ihtsdo.org/SCT_104791009>	[<http://www.ihtsdo.org/SCT_104786008>]
<http://www.ihtsdo.org/SCT_104792002>	[<http://www.ihtsdo.org/SCT_4727005>]
<http://www.ihtsdo.org/SCT_104794001>	[<http://www.ihtsdo.org/SCT_69527006>]
<http://www.ihtsdo.org/SCT_1048003>	[<http://www.ihtsdo.org/SCT_82078001>]
<http://www.ihtsdo.org/SCT_104819000>	[<http://www.ihtsdo.org/SCT_46716003>]
<http://www.ihtsdo.org/SCT_104820006>	[<http://www.ihtsdo.org/SCT_46716003>]
<http://www.ihtsdo.org/SCT_104891001>	[<http://www.ihtsdo.org/SCT_113083009>]
<http://www.ihtsdo.org/SCT_104904000>	[<http://www.ihtsdo.org/SCT_74040009>]
<http://www.ihtsdo.org/SCT_104905004>	[<http://www.ihtsdo.org/SCT_74040009>]
<http://www.ihtsdo.org/SCT_104910000>	[<http://www.ihtsdo.org/SCT_33264001>]
<http://www.ihtsdo.org/SCT_104919004>	[<http://www.ihtsdo.org/SCT_48908006>]
<http://www.ihtsdo.org/SCT_104958009>	[<http://www.ihtsdo.org/SCT_104957004>]
<http://www.ihtsdo.org/SCT_104968004>	[<http://www.ihtsdo.org/SCT_61167004>]
<http://www.ihtsdo.org/SCT_104969007>	[<http://www.ihtsdo.org/SCT_104968004>]
<http://www.ihtsdo.org/SCT_104970008>	[<http://www.ihtsdo.org/SCT_104968004>]
<http://www.ihtsdo.org/SCT_104971007>	[<http://www.ihtsdo.org/SCT_104968004>]
<http://www.ihtsdo.org/SCT_104994008>	[<http://www.ihtsdo.org/SCT_250668004>]
<http://www.ihtsdo.org/SCT_105027004>	[<http://www.ihtsdo.org/SCT_76609004>]
<http://www.ihtsdo.org/SCT_105040009>	[<http://www.ihtsdo.org/SCT_83895001>]
<http://www.ihtsdo.org/SCT_105298007>	[<http://www.ihtsdo.org/SCT_33748008>]
<http://www.ihtsdo.org/SCT_105372003>	[<http://www.ihtsdo.org/SCT_108276004>]
<http://www.ihtsdo.org/SCT_105375001>	[<http://www.ihtsdo.org/SCT_16310003>]
<http://www.ihtsdo.org/SCT_105376000>	[<http://www.ihtsdo.org/SCT_40701008>]
<http://www.ihtsdo.org/SCT_105378004>	[<http://www.ihtsdo.org/SCT_373205008>]
<http://www.ihtsdo.org/SCT_105584000>	[<http://www.ihtsdo.org/SCT_122477008>]
<http://www.ihtsdo.org/SCT_105588002>	[<http://www.ihtsdo.org/SCT_102302009>]
<http://www.ihtsdo.org/SCT_10564005>	[<http://www.ihtsdo.org/SCT_47516005>]
<http://www.ihtsdo.org/SCT_10593005>	[<http://www.ihtsdo.org/SCT_105724001>]
<http://www.ihtsdo.org/SCT_105994001>	[<http://www.ihtsdo.org/SCT_66091009>]
<http://www.ihtsdo.org/SCT_106010004>	[<http://www.ihtsdo.org/SCT_27541007>]
<http://www.ihtsdo.org/SCT_106016005>	[<http://www.ihtsdo.org/SCT_128218002>]
<http://www.ihtsdo.org/SCT_106113004>	[<http://www.ihtsdo.org/SCT_106112009>]
<http://www.ihtsdo.org/SCT_106466007>	[<http://www.ihtsdo.org/SCT_106407000>, <http://www.ihtsdo.org/SCT_106464005>]
<http://www.ihtsdo.org/SCT_10699001>	[<http://www.ihtsdo.org/SCT_397825006>]
<http://www.ihtsdo.org/SCT_10743008>	[<http://www.ihtsdo.org/SCT_85919009>]
<http://www.ihtsdo.org/SCT_107652000>	[<http://www.ihtsdo.org/SCT_441742003>]
<http://www.ihtsdo.org/SCT_10772009>	[<http://www.ihtsdo.org/SCT_21602007>]
<http://www.ihtsdo.org/SCT_108056000>	[<http://www.ihtsdo.org/SCT_11810009>]
<http://www.ihtsdo.org/SCT_108065007>	[<http://www.ihtsdo.org/SCT_11810009>]
<http://www.ihtsdo.org/SCT_108094000>	[<http://www.ihtsdo.org/SCT_176757001>]
<http://www.ihtsdo.org/SCT_108105007>	[<http://www.ihtsdo.org/SCT_386638009>]
<http://www.ihtsdo.org/SCT_10813004>	[<http://www.ihtsdo.org/SCT_68659002>]
<http://www.ihtsdo.org/SCT_108284000>	[<http://www.ihtsdo.org/SCT_303911009>]
<http://www.ihtsdo.org/SCT_108285004>	[<http://www.ihtsdo.org/SCT_77658008>]
<http://www.ihtsdo.org/SCT_108287007>	[<http://www.ihtsdo.org/SCT_303911009>]
<http://www.ihtsdo.org/SCT_108306002>	[<http://www.ihtsdo.org/SCT_118817003>]
<http://www.ihtsdo.org/SCT_10860007>	[<http://www.ihtsdo.org/SCT_245569005>]
